,EVF,Etiqueta
3194,traer wtf,False
3195,decir fulana,False
3196,regalar plomo,True
3197,pena x2,False
3198,oír andres,False
3199,murmurar there,False
3200,cabron coño,False
3201,pelar jajajaj,True
3202,andar taaan,False
3203,poner rmp,False
3204,segun tenian,False
3205,ladrar perro,False
3206,querer mentarte,False
3207,contigo mentarte,False
3208,disfrutaramos mentarnos,False
3209,amar wacha,False
3210,renegar julieta,False
3211,tener trmeneda,True
3212,llegar dhsjaj,True
3213,defender recuerdalo,False
3214,delantando jajaja,False
3215,confundir lourdes,False
3216,cantar bella,True
3217,pagar sera,False
3218,freir monobusco,False
3219,venir aca,False
3220,robar ️,False
3221,mentir ️,False
3222,fumar tabaco️,False
3223,fumar maria️,False
3224,fumar maria,False
3225,juegan marico,False
3226,apoyar posdata,False
3227,seguir montandote,False
3228,cesar suarez,False
3229,joder jajajajjajajajjaajaja,False
3230,provocar abstencion,False
3231,convertir universidadesautonomas,False
3232,estan reguladiaimas,False
3233,venia palo,False
3234,quedo kiko,False
3235,sumar anselmo,False
3236,amo corporacion,False
3237,declarar matricidio,False
3238,mirar pedazo,False
3239,leer pedazo,False
3240,creer ja,False
3241,ojalar asi,False
3242,resistir machin,False
3243,dar medvedev,False
3244,despertar dios,False
3245,terminar convenciendome,False
3246,pasar pagina,True
3247,venir feiver,False
3248,pedir ddhh,False
3249,imagino macri,False
3250,gustar jajaja,False
3251,contar jajajajajajaja,False
3252,hacerte mas,False
3253,olvidado xd,False
3254,parar pdvsa,True
3255,hacer mas,True
3256,estan ahi,False
3257,gustar buildings,False
3258,llorar rei,False
3259,emocione creci,False
3260,molestar meti,False
3261,dira meti,False
3262,contuve ypense,False
3263,aqui estamos20,False
3264,quedado alla,False
3265,dejar via,False
3266,hablar metian,True
3267,sera honesta,False
3268,necesitar radiografia,False
3269,querer cne,False
3270,querer dios,False
3271,estan alla,False
3272,pasar hambremamandopendientes,True
3273,ir joder,False
3274,revisar …,False
3275,jonron •,False
3276,vover vamo,False
3277,cagar mas,True
3278,llorar ahi,False
3279,dejar porq,False
3280,alegrar q,False
3281,ver master,False
3282,dormiamos jaja,False
3283,hacer piojito,False
3284,estar pila,True
3285,llamar oceano,False
3286,ver to,False
3287,terminado sacandolo,False
3288,desangrar trigal,False
3289,hacer jajaj,True
3290,ojalar malasia,False
3291,decir erick,False
3292,cagar mijoo,False
3293,haz sos,False
3294,hara asi,False
3295,ver netflix,False
3296,cerrar recibi,False
3297,corresponder jajajaa,True
3298,joder atol,False
3299,mando bala,False
3300,largar x,False
3301,prometer day,False
3302,estar poniendome,False
3303,joda chile,False
3304,alban hospital,False
3305,conformar superejercito,False
3306,saber ee,False
3307,llevar educacion,False
3308,paso xq,False
3309,publicar wvadas,False
3310,meter gendarmeria,False
3311,entender gil,False
3312,ver guapisimos,False
3313,tener energia,False
3314,llego tarancon,False
3315,necesitar reindustrializacion,False
3316,tomar cafe,False
3317,tener bs,False
3318,hacer ok,False
3319,llevar todoestas,False
3320,ver milll,False
3321,defendia asi,False
3322,recuerdo uribe,False
3323,escuchar alberto,False
3324,queee sali,False
3325,cabron echandose,False
3326,quitar gear,False
3327,llevar informacion,False
3328,desatar horace,False
3329,aqui comiendome,False
3330,aqui comiendonos,False
3331,decir ineptobasurapote,False
3332,batir quebradoineficienterastrojogusanoporqueríaarrastradojala,False
3333,falta lenin,False
3334,estudio haria,False
3335,tenia razon,False
3336,relacionar soda,False
3337,patron jajaaja,False
3338,llamar puta,False
3339,creer mesias,False
3340,pasas jajaja,False
3341,llamar anarquia,False
3342,ofrecer amnistia,False
3343,tumbar gobierno,False
3344,remontar houston,False
3345,decir marica,True
3346,mata pq,False
3347,ver linda,False
3348,hijueputa gueva,False
3349,tener asi,True
3350,empape vi,False
3351,decir ayyyy,True
3352,pretender irte,False
3353,demas peroo,False
3354,asucar ai,False
3355,ir pen,False
3356,dar cringe,False
3357,entender pelotudes,False
3358,hacer rato,True
3359,mejorar apr,False
3360,romper record,False
3361,informar alguito,False
3362,restablecio señores,False
3363,tener encontrarè,False
3364,hijueputa porq,False
3365,jugar xd,False
3366,merecer mas,False
3367,huele ami,False
3368,vosotros meteis,False
3369,hacer yoga,True
3370,actuan mas,False
3371,decir qqqq,False
3372,decir googlealo,True
3373,abrir paraguas,True
3374,hacer danilo,True
3375,dolio mas,False
3376,fallecer mas,False
3377,gustar uwu,False
3378,escuchar mamon,False
3379,pesar mas,False
3380,jugar rankeds,True
3381,servir copiarla,False
3382,encantar leerte,False
3383,mejora scangarello,False
3384,aprender nomas,False
3385,opinar jasjjasj,False
3386,salir metiendote,False
3387,destruir quito,False
3388,terminar metiendonos,False
3389,basto ey,False
3390,pagar educacion,False
3391,hacer xddd,False
3392,significar corriente,False
3393,diria mas,False
3394,llegar c,False
3395,agarrar con las manos en la masa,True
3396,asustar a todo mundo en esta vaina,False
3397,vivir de la incoherencia de la ruina,True
3398,viajar a mi casa con este clima,False
3399,disfrutar de las mieles de esta dictadura,False
3400,rebuscar en el baul de los recuerdos,True
3401,salir de un problema tras otro problema,False
3402,ver a un derecho por esa banda,False
3403,formar en la cola para la cola,False
3404,sera por la candidatura en otras organizaciones,False
3405,ir a un recital en mi vida,False
3406,privar de la libertad a un conductor,False
3407,dar con una piedra en los dientes,True
3408,seguir con ese escaparate en el hombro,True
3409,estar con otra persona a la vez,True
3410,ir de este planeta con el meteorito,False
3411,ir a la guerra con este equipo,False
3412,metia por las noches a su recamara,True
3413,estar en mi salsa en cualquier momento,True
3414,estan en la casa de la cultura,False
3415,dejar con la corriente de mi tio,False
3416,extendio por los labios de la pelirroja,True
3417,jugar entre las hojas de los arboles,False
3418,vivio en el extranjero en este momento,False
3419,pegar a los reporteros por la espalda,False
3420,dejar a mi amigo en la loma,False
3421,entregar a otra persona en otra direccion,False
3422,andar con el rabo entre las piernas,True
3423,sufrir por la muerte de un familiar,False
3424,pensar en los derechos de los dueños,False
3425,ver en la calle a una hora,False
3426,pasar al otro lado de la muerte,True
3427,subiamos a los cerros por la calle,False
3428,convertido en el rey de los camaleones,True
3429,morir por un pepino por lo tanto,False
3430,meter a la cama a las 1000,False
3431,cagar de la risa con la definicion,True
3432,tener una experiencia en el beisbol,True
3433,agarrar el toro por los cachos,True
3434,alborotar el avispero con la ayuda,True
3435,dar un baño a esta hora,True
3436,dar un baño en el mar,False
3437,dejar muchas dudas en un ambiente,False
3438,dar un baño por cierto felicidades,True
3439,darme un baño en una piscina,False
3440,darte un baño con tu macho,False
3441,darle un baño por todas partes,False
3442,gozar una bola con su comedia,True
3443,gozar una bola con la revolucion,False
3444,bajar la mirada a un cubano,False
3445,tomar una foto a una dracupatrulla,False
3446,meterse esa noticia por el culo,True
3447,eliminar los mensajes en la oficina,False
3448,iniciar una relacion con un chamo,True
3449,limpiar el trasero con la imparcialidad,True
3450,parecer la defensora de los payasos,False
3451,colocar un destructor de la marina,True
3452,probar las exquisiteses de la gastronomia,False
3453,atacar el problema en los paises,False
3454,surreal el tema de los peruanos,False
3455,matar las consecuencias de esos actos,False
3456,creer un culo a esos politicos,True
3457,funcionar la politica en mi pais,False
3458,amarrar las cuñas para sus radios,False
3459,amarrar los pantalones a los narcoterroristas,False
3460,asegurar sus recursos para los proximos,False
3461,merecer el respeto de la sociedad,False
3462,hacer mucho daño a la imagen,False
3463,merecer un video a la par,True
3464,tener la luz a su favor,True
3465,tirar el carro a esos maldecidos,True
3466,atender el tema de los venezolanos,False
3467,besar las borolas en el cine,True
3468,patinar el coco con el objetivo,True
3469,dar la espalda a los venezolanos,False
3470,dar la vuelta a la manzana,True
3471,hacer mis arepitas para la cola,True
3472,comprar estos libros en la feria,False
3473,comer la luz con el cuento,True
3474,determinar la influencia de ciertos parametros,False
3475,meter la cuchara en el frasco,True
3476,meter la cuchara en mi plato,False
3477,hacer un guiño a lo retro,True
3478,meter la cuchara en el dulce,False
3479,meter la cuchara a la boca,True
3480,meter la cuchara a mi forma,True
3481,meter la cuchara en el pote,True
3482,meter su cuchara en los mercados,False
3483,escuchar el ensayo de mi hermano,True
3484,tener los pergaminos por los equipos,False
3485,dar el golpe en la mesa,True
3486,dar una alegria a nuestra gente,False
3487,ver aquella madrugada en la tv,False
3488,dar el golpe a la mesa,True
3489,dar un golpe en una bola,True
3490,darte el golpe en un mundo,False
3491,dar el palo de mi vida,True
3492,pegar un balazo en las patas,False
3493,quedar el almuerzo en su casa,True
3494,dar la cola hasta la parada,True
3495,dar la cola hasta su casa,True
3496,darle la cola a mis amigas,True
3497,tomar un vino por lo tanto,False
3498,darte un baño de mi dulce,False
3499,pelar el diente en una campaña,True
3500,pelo los dientes por la espalda,False
3501,poner esos alambres en la jeta,True
3502,hacer una joda a mi amiga,False
3503,subio la fama a la cabeza,False
3504,cerrar los ojos ante este hecho,False
3505,calarse las humillaciones en otros paises,False
3506,matar el gallo en la mano,True
3507,dar el golpe sobre la mesa,True
3508,agarrarle el gusto a la lechuga,True
3509,agarrar el gusto a la jodita,True
3510,agarrar el gusto a la birra,True
3511,agarrar el gusto a la lechita,True
3512,agarrar el gusto con el mando,True
3513,agarrar el gusto a la cocina,True
3514,cogerle el gusto a los carros,False
3515,coger el gusto a las horas,True
3516,coger el gusto a los domingos,True
3517,coger el gusto a las faldas,True
3518,llegar la guinda de la torta,True
3519,corto la luz en el cine,True
3520,tener un as bajo la manga,True
3521,apagar la luz de la independencia,False
3522,llegar el desprestigio de la politica,False
3523,apagar la luz de los pueblos,False
3524,apagar la luz de la pieza,False
3525,poner los vitrales en un rincòn,False
3526,apagar la luz a las plazas,True
3527,apagado la luz de la plaza,True
3528,apagado la luz de mi pieza,True
3529,apagar la luz en mi vida,False
3530,apagar la luz en el 2013,True
3531,apagar la luz de la plaza,False
3532,quitar la luz para este puente,True
3533,quitar esa mierda de una vez,False
3534,quitar la luz en nuestros hogares,True
3535,vendido la idea a los cartageneros,False
3536,sacar la madre a los motoristas,False
3537,sacar la madre a estos vandalos,True
3538,sacar la madre a esos vandalicos,True
3539,decir el deber de cada ciudadano,False
3540,mentar la madre con el claxon,True
3541,mentar la madre a cada rato,True
3542,mentar la madre a los arbitros,False
3543,mentaramos la madre a cada rato,False
3544,encontrar un diputado en la calle,True
3545,prender la mecha con el canijo,False
3546,asumir la carga de la crisis,False
3547,meter los productos en la caja,False
3548,llevar una morena a ese recien,True
3549,hacer el muñeco a esta gente,True
3550,detestar el efecto de la caña,True
3551,ser la mala de la historia,False
3552,traer los informes de los periodistas,False
3553,entregar los papeles en el centro,True
3554,perder los papeles con las personas,False
3555,dar un trago a una botella,True
3556,ganar la moral por estos sinvergüenzas,False
3557,desaparecer las lagrimas en el acto,True
3558,querer las riquezas de nuestro pais,False
3559,dar el golpe en el comienzo,True
3560,proteger la ocupacion de la corona,False
3561,dar el golpe en la casa,True
3562,dar la pata en la raja,False
3563,abrir la puerta a la guerra,False
3564,meter la pata en la casa,False
3565,diseñar un logo para tu empresa,False
3566,basto el informe de una experta,True
3567,meter la pata en cualquier lugar,False
3568,meter la pata hasta el fondo,True
3569,meter la pata de esta forma,False
3570,pedis la dimision de la alcaldesa,False
3571,metido la pata hasta el fondo,True
3572,meter la pata en nuestros años,False
3573,comprender el contexto de la serie,False
3574,meter la pata en las definiciones,True
3575,sacar el auto de lo estefan,True
3576,parar la pata hasta el domingo,True
3577,parar las patas en una mision,True
3578,falto la palangana para las patas,True
3579,vos muchas familias en esta navidad,False
3580,llorar la ausencia de un alma,True
3581,saber la letra en un lugar,False
3582,cerrar nuestras fronteras con ese pais,False
3583,quitar las sanciones a los miembros,False
3584,olvidar el nombre de tu gato,True
3585,sacar la piedra en un segundito,True
3586,sacarle la piedra a un profe,True
3587,sacarle la piedra a tu mama,False
3588,llevar la verga por todos lados,False
3589,pilar la mayoria de las cuentas,False
3590,exportar su socialismo de varias formas,False
3591,pegar las facturas en la heladera,False
3592,poner las pilas en este evento,True
3593,poner las pilas con tanto estreno,True
3594,mirar las historias de mis amigos,False
3595,poner las pilas a esos muebles,False
3596,poner las pilas con una piba,True
3597,redactar un correo a mi jefe,False
3598,dar un servicio a la altura,False
3599,ponia las pilas con el guacho,True
3600,poner las pilas con el añito,True
3601,poner las pilas de una vez,True
3602,prohibir la entrada a este pais,False
3603,robar los sacas a los salvadoreños,False
3604,acabar el chiringuito en este pais,False
3605,poniendose las pilas con sus idiomas,False
3606,tomar unas fotos para una tarea,False
3607,poner el grito en el cielo,False
3608,poner la vista en la generacion,False
3609,cargar un reloj en la muñeca,True
3610,darme un baño en el jacuzzi,False
3611,dandome un baño en la piscina,True
3612,comer un cable a otro perro,True
3613,mantener la dolcevita de esa señora,False
3614,romper el corazon por una noticia,True
3615,sacado el gato a la vez,True
3616,montar un show en la esquina,True
3617,salio el tiro por la culata,True
3618,poner las cosas en su lugar,True
3619,tender la cama a los mafiosos,False
3620,tendia la cama en el hotel,True
3621,tender la cama a varios tecnico,False
3622,hacer una marca con un cigarrillo,True
3623,tirarle los perros a las amigas,False
3624,poner un manto en los ojos,False
3625,llevar los almuerzos a mi trabajo,False
3626,echar los perros echame tus ganas,True
3627,echar los perros a un jugador,True
3628,echar los perros de una puta,True
3629,echarle los perros a un man,True
3630,salir el tiro por la culata,True
3631,llegar el agua a las rodillas,True
3632,tener el dinero para las obras,True
3633,llegar el agua a los tanques,True
3634,llegar el agua hasta la cintura,True
3635,llegar el agua a la zona,True
3636,lograr mis metas a mis padres,False
3637,llevarlo una parte de mis ancestros,False
3638,hacer un ajuste a tu recibo,False
3639,imponer su ideologia a los niños,False
3640,ir el agua en mi casa,True
3641,irse la luz en mi casa,True
3642,ir la luz en el estadio,True
3643,ir la luz en la zona,True
3644,ir la luz a cada rato,False
3645,ver mis comiquitascoño de la madre,False
3646,ir la luz durante las tormentas,True
3647,ir la luz en la mayoria,False
3648,ir la luz en los pueblos,False
3649,ir la luz en el pais,True
3650,recordar los cuentos de la abuela,False
3651,tener a dios agarrado por la chiva,True
3652,implicar al gob venezolano sin una prueba,False
3653,aprovechar una chulada de maquina,False
3654,manipular la situacion a favor,True
3655,acabar mi dia de trabajo,False
3656,dar un baño de espuma,True
3657,dar un baño de popularidad,True
3658,dar un baño de burbujas,True
3659,dar un baño de coherencia,True
3660,dar un baño de agua,True
3661,decir un baño con agua,False
3662,decir un baño de lluvia,False
3663,acosar un banco de peces,True
3664,dar un baño de realidad,True
3665,dare un baño de cultura,False
3666,dara un baño de popularidad,False
3667,daria un baño de verdad,False
3668,daria un baño de feminismo,True
3669,daria un baño con agua,False
3670,darian un baño de pueblo,True
3671,conocia el nivel de satisfaccion,False
3672,darme un baño con agua,False
3673,darte un baño de popularidad,False
3674,darle un baño a domicilio,False
3675,darle un baño de popularidad,False
3676,quitar el uniforme de trabajo,False
3677,echar un baño de aguacero,False
3678,apostar un dinerito en familia,False
3679,cante el forro del culo,False
3680,hacer los onvres por atencion,False
3681,poner la marrana por gusto,False
3682,inicio el proceso de revocatoria,False
3683,ir un fin de semana,False
3684,tirar una bolsa de harina,False
3685,dar la gana de bolas,False
3686,tenia el apoyo del publico,True
3687,funcionar las cosas en usa,False
3688,pagar un vientre de alquiler,True
3689,noto el recortes de fondos,False
3690,mandar tu plan de vida,False
3691,tener una novia pa solo,False
3692,arreglar las paredes del nacio,False
3693,vivir una vida de lujos,False
3694,seran los nombres de especies,False
3695,tenia un motor de coche,False
3696,tener un accidente de transito,False
3697,prometer un tamal de almuerzo,False
3698,lastimar una manada de corruptos,False
3699,decir las verdades a gritos,False
3700,preferido la entrada de gloria,True
3701,jejeje ese juego del sabado,False
3702,tirar el carro con rabia,True
3703,echar el carro a maduro,True
3704,tv los domingos de paseo,False
3705,pasar esta semana de pana,True
3706,decir un voto de confianza,False
3707,llegar un gobierno de derecha,False
3708,comer la luz del semaforo,True
3709,hacer la cosa al azar,True
3710,reconocer la validez del fin,False
3711,aceptar la validez del medio,False
3712,dar mucho amor a personas,False
3713,teniamos bastantes series en comun,False
3714,cortar un trozo de pantalon,True
3715,meter la cuchara hasta demas,False
3716,sacar la chicha a fuerza,True
3717,buscar el significado sin prisa,False
3718,dar el golpe de timon,True
3719,defender nuestra patria del dictador,True
3720,quedo una mierda de vida,False
3721,darle el golpe de gracia,False
3722,dar el palo al gato,True
3723,dar el palo de hockey,True
3724,dar la cola al trabajo,False
3725,ver el tipo de analisis,False
3726,distar un baño con lodo,False
3727,dar un baño de multitudes,True
3728,hacer un lio de emociones,True
3729,tenian estas empanadas de mugre,False
3730,acabar el problema de falta,False
3731,costar un carton de huevos,False
3732,mamar el gallo al ciudadano,False
3733,tener su aire al lavaperro,True
3734,comenzar su proceso d fuga,False
3735,hacer su proyecto de viviendas,False
3736,tener un transfondo de corrupción,True
3737,venderia su alma al enemigo,False
3738,hundir la vida a personas,False
3739,esconder la bateria de medidas,False
3740,tener un complejo de inferioridad,False
3741,suspender las clases en fin,False
3742,dictar el toque de queda,False
3743,cortar la luz por falta,False
3744,apagar la luz en parte,True
3745,apagar la luz del portal,True
3746,apagar la luz por favor,False
3747,ver esos videos de estadio,False
3748,apagar la luz del cuarto,True
3749,apagar la luz del universo,True
3750,presentar un caso de violencia,False
3751,llenar el desierto de paneles,True
3752,quitar la luz en zona,True
3753,quito la luz en soledad,True
3754,actue el ejercito con inteligencia,False
3755,quitar la luz al circuito,False
3756,quitar la luz por nada,True
3757,cerrar las llaves de agua,False
3758,quitarle la luz al puente,False
3759,sacar la madre al pueblo,True
3760,sacar la madre a gente,True
3761,sacar la madre por vandalos,True
3762,indigno la violencia en serio,False
3763,ver esos deportes de pelea,True
3764,sacado la madre con sangre,False
3765,sacar la madre para tenerla,True
3766,tener un trabajo de mierda,True
3767,hacer el ridiculo en relaciones,False
3768,alba los cositos de mama,False
3769,ver la recepcion de mierda,False
3770,mente la madre con guante,False
3771,tirar una cora de dignidad,False
3772,mentar la madre con cariño,True
3773,mentan la madre de parte,False
3774,mentar la madre a cuanto,False
3775,denunciar la cuenta del vato,False
3776,ablaba la mafia del futbol,False
3777,bailar el vals de boda,False
3778,pedir las cosas de favor,True
3779,hacer un baño de humildad,False
3780,prender la mecha del fuego,False
3781,prendi la mecha al saviondo,True
3782,apagar el fuego con gasolina,False
3783,meterle el ojo a supermercados,False
3784,meter las uñas a nombramientos,True
3785,decir un sinfin de cosas,True
3786,llevar una morena en carrera,True
3787,llevar una morena en cultura,True
3788,cuidar su lugar de trabajo,False
3789,hacer el muñeco con rayitas,True
3790,teneis un problema de civismo,False
3791,perder los papeles al final,True
3792,m€ el gasto en pensiones,False
3793,dejar un reguero de bajas,False
3794,dar la pata a echarse,True
3795,callarse sus ladridos de hiena,False
3796,dar la pata de jamon,True
3797,dar el golpe de gracia,True
3798,meter la pata en algun,False
3799,lanzar un programa de limpieza,False
3800,daran esos titulos de expertos,False
3801,hacerle un bien al mundo,False
3802,meter la pata en democracia,True
3803,buscar una ley de impunidad,False
3804,cayò el bote de polvo,True
3805,pisar el peine del regimen,True
3806,ver una renovacion dl cuadro,False
3807,negada la entrada por personas,False
3808,hacer una platica por alla,False
3809,dar una rueda de prensa,True
3810,apagar toda capacidad de raciocinio,False
3811,matar la perra con carne,False
3812,descubrir los kilos de cocaina,False
3813,saque la piedra del zapato,True
3814,vestir el nivel de violencia,False
3815,dar esta pila de corruptos,False
3816,poner las pilas por fuerza,False
3817,necesitar mucha gente con ganas,False
3818,poner las pilas con hockey,True
3819,comprado la gente de seguridad,False
3820,pondra las pilas en contra,False
3821,doler el bolsillo por fin,False
3822,quitar un dia de sueldo,False
3823,detener este enjambre de delincuentes,False
3824,tener un compañero de laburo,False
3825,poner el comal con gotas,True
3826,traer un cargamento de cosas,True
3827,poner la vista al llano,True
3828,pondre las pilas para encararla,False
3829,sostener un reguero de vagos,False
3830,presto la llave del baño,True
3831,dar un baño de pueblo,True
3832,dar un baño de espumas,True
3833,dar un baño de realidard,True
3834,decir un baño de alcohol,True
3835,darse un baño de mentiras,False
3836,darse un baño de agua,True
3837,dandome un baño de pueblo,True
3838,dandose un baño de cultura,False
3839,comio un cable en vista,False
3840,decir un ser sin estudio,False
3841,crear una situacion de insalubridad,False
3842,sacar el gato del techo,True
3843,sacar la pata del barro,True
3844,saltar la talanquera de manera,True
3845,montar un show de gritos,False
3846,entender la diferencia entre autonomía,False
3847,tirarle los perros con toda,True
3848,poner la piel de gallina,False
3849,cayo el castillo de naipes,False
3850,defendere el estado de inocencia,False
3851,caer un palo de agua,True
3852,calma la sed a veces,False
3853,cayo un palo de agua,True
3854,caera un palo de agua,True
3855,llegar el agua al tanque,True
3856,desbordar el agua al barco,True
3857,llegar el agua al pecho,True
3858,llegar el agua por tuberia,True
3859,llegar el agua al cuello,True
3860,llegar el agua al sector,True
3861,llegar el agua a alta,True
3862,esperar su respuesta a k,False
3863,hacer un tatuaje de boca,False
3864,morir un balazo al aire,False
3865,aceptar la chaqueta desde chico,False
3866,lastimar un millon de veces,False
3867,dar tanta tristeza por favor,False
3868,romper la vereda por favor,False
3869,asegurar el suministro de agua,False
3870,ir el agua al molino,False
3871,ir la luz a mitad,False
3872,volvio otro comienzo de semana,False
3873,jugar las dos series,False
3874,dejar estos dos pesos,False
3875,huésped una medio bruja,False
3876,durar los 3 años,False
3877,esperar el « pueblo,False
3878,comprar mucha uvasal chicos,False
3879,caer las 7 plagas,False
3880,llegar cada 6 meses,False
3881,doler los 2 dolares,False
3882,reiterar los 4 frentes,False
3883,cerrar cada 15 minutos,False
3884,pensar las 2 situaciones,False
3885,alborotar el avispero en instagram,False
3886,dar un baño a pablo,True
3887,dar un baño de realismotenemos,True
3888,darme un baño de inmersion,False
3889,escribir esta mujer por dios,False
3890,lleno la casa de dodgers,False
3891,sera el show de venezuela,True
3892,tener la mitad de informacion,False
3893,vivir esa gente en corea,False
3894,tener un viaje a san,False
3895,leer mis msjes del sabdo,False
3896,comprar unos pasajes para madrid,False
3897,dar muchos besitos para disculparme,False
3898,echandole un cerro de idem,False
3899,hacer los narcos de miraflores,False
3900,dirigir la rama del estado,False
3901,botar el juego a anibal,True
3902,contestar un tuit a cantv,False
3903,oír las confesiones de franklin,False
3904,creer el cuento a galan,False
3905,ver la cara de marica,True
3906,vender el sofa para q,False
3907,dias un articulo sobre joker,False
3908,tenia un puesto del fdt,False
3909,afectar los activos de venezuela,False
3910,mirar esa entrevista a pierluisi,True
3911,mostrar un video del palacio,False
3912,hablar un miembro del tc,False
3913,esperar el fin de senama,False
3914,dar un pomo de muelita,False
3915,destruir las evidencias para extradicion,False
3916,funcionar las cosas por corea,False
3917,hacer la cosa de aca,True
3918,hacer la cosa al cosito,True
3919,mostre las fotos de luciano,False
3920,salir un arroz con kimchi,True
3921,hacer un viaje a israel,False
3922,mandar la solicitud por mail,False
3923,tenia un profesor de fisica,False
3924,darse el lujo de escjer,False
3925,llevar el coach de picheo,False
3926,dar el golpe de estado,True
3927,dar el golpe en shanghai,True
3928,dar el palo de tulile,True
3929,dar el pitazo de medina,True
3930,dar la cola hasta chile,True
3931,dar la cola a chamos,True
3932,terminar la solicitud del tfg,False
3933,decir un baño a vicky,False
3934,vestir su video de bundes,False
3935,celebrar el descubrimiento de america,False
3936,dejar el legado de rafael,False
3937,hacer una cancion para oriente,False
3938,agarrar el gusto al fernet,False
3939,agarrar el gusto a king,True
3940,silenciar los sucesos de quito,True
3941,visitar el barrio de villa,True
3942,quemar todo hijos de puta,False
3943,cortar la luz de duracell,True
3944,cortado la luz por aca,True
3945,cortar la luz del ayuntamiento,True
3946,cortar la luz a mas,True
3947,ver la pelicula de breaking,False
3948,mirar la cara de smicco,True
3949,dar la retina del rn,False
3950,ilustrar ese pensamiento de bolivar,False
3951,zabotearon el evento con mas,False
3952,quitar la luz a catedral,False
3953,saco la madre de pana,False
3954,sacar la madre por aca,True
3955,sacar la madre a tuarez,True
3956,sacarle la madre a jimmy,False
3957,mentar la madre a ortega,True
3958,mente la madre a raul,False
3959,mente la madre a ed,False
3960,mente la madre a regina,False
3961,mentar la madre a sumerce,True
3962,mentar la madre a lenin,True
3963,menta la madre a trump,False
3964,mentar la madre en ingles,True
3965,mentado la madre al huevonaso,True
3966,activar los microfonos para mentarnos,False
3967,detener aquel penal a lalo,False
3968,apagar el incendio con nafta,False
3969,ver una sancion de colombia,False
3970,roto el corazon de alguien️,False
3971,llevar una morena en organizacion,True
3972,entregar los papeles al afa,True
3973,perder los papeles en sesion,True
3974,tragar un paquete de oreos,False
3975,estar la entereza de pararle,False
3976,rechazar el ofrecimiento de barbarroja,False
3977,agarrar el gusto al apple,False
3978,seguian el verso por chat,False
3979,tener la señora de bravo,False
3980,meter la pata con vulturis,True
3981,tener el poder de uribe,True
3982,meter la pata en twitter,True
3983,enfrentar los ojos de tooru,False
3984,traer la libertad a europa,False
3985,meter la pata a albertito,False
3986,tener una linea de accion,False
3987,cuidar el pais con macri,False
3988,imponer su dictadura en venezuela,False
3989,dejar el pelero en venezuela,True
3990,dejar el pelero en quito,True
3991,leido el sueño del celta,False
3992,saco la piedra del riñon,True
3993,sacar la piedra a amparito,True
3994,mostrar mi identidad en tuister,False
3995,conformar el grupo de lima,False
3996,poneis las pilas a footters,False
3997,poner las pilas en latinoamerica,False
3998,poner las pilas con kennedy,True
3999,poner las pilascomo en guayaquil,False
4000,poner las pilas con cm,True
4001,pondria las pilas con vos,True
4002,decir el comentarista de orange,False
4003,plomar el comunista de chavez,True
4004,dar un golpe de estado,True
4005,gusto el cartel del fep,True
4006,poner la torta en brasil,False
4007,poner la vista en cartagena,True
4008,sacar las mamadas de vergara,False
4009,decir el negro del whatsapp,False
4010,decir un baño a cobu,True
4011,hacerle una entrevista al guaidó,False
4012,darse un baño de mjultitudes,False
4013,pelar el cable con fripp,True
4014,limpiar el culo con colombia,False
4015,cerro la puerta a claudia,False
4016,resolvio la escasez de efectivoeso,False
4017,saltar la talanquera del psuv,True
4018,hacer los miembros del politburo,False
4019,esperar tu debut en netflix,False
4020,robar el show en minute,True
4021,tender la cama al piojo,True
4022,tirar los perros en twitter,True
4023,tener una gonorrea de angel,False
4024,hacer el lomo de ñame,False
4025,voltear la tortilla para joder,True
4026,llegar el agua al tanqe,True
4027,llegar el agua en manzanares,True
4028,saltar los muros de guadalix,False
4029,ir el agua en quito,False
4030,agarrar mi pote de mavesa,True
4031,parecer el miao de cachicamo,False
4032,editar un capitulo de ptskm,False
4033,hecho duque que lenin moreno,False
4034,aplaudir entre ellos gozar una bola,False
4035,saber a quien echarle la culpa,False
4036,saber de donde venir las directrices,False
4037,saber por donde ir el agua,True
4038,agarrar fuera de base,True
4039,agarra fuera de base,True
4040,agarraste fuera de base,True
4041,coger fuera de base,True
4042,apoyar siempre con inventos,True
4043,caminar hasta sobre carbones,False
4044,ascender siempre por compadrazgo,False
4045,decir completamente de acuerdo,False
4046,entender antes de irme,False
4047,caer encima del paciente,True
4048,caer encima al tipo,True
4049,caer encima en frente,True
4050,caer encima en grupo,True
4051,cai encima con gracia,True
4052,cenar fuera del burger,True
4053,caido encima al cochecito,False
4054,caimos encima al bombardero,True
4055,caer encima con insultos,False
4056,caera encima a golpes,False
4057,beber antes del registro,True
4058,quedo bien sin nombre,False
4059,gobernar no con soluciones,False
4060,meter ya de adultos,False
4061,fregar muy de acuerdo,True
4062,mear fuera del perol,True
4063,tener cerca a diario,False
4064,hacer tarde de reposo,True
4065,pertenecer ya al mundo,False
4066,quedar mal sin embargo,False
4067,dar mas de calor,False
4068,iria solo a tirarle,False
4069,explicar mas de historia,False
4070,caer antes de comérselo,False
4071,sacar tanto de quicio,False
4072,dejar pedalear en el aire,False
4073,poder dormir hasta la hora,False
4074,estar viajar a mi casa,False
4075,q arriesgar a los estudiantes,False
4076,estan pintar con un lider,False
4077,seguir hendir a su casa,True
